id,stage,parent_category,task_name,merge_group,merge_compatible,merge_strategy,merge_cap_tokens,pricing_basis,io_tokens_in_default,io_tokens_out_default,io_addon_merge_mode,io_addon_merge_ratio,io_can_batch,io_avg_chunk_tokens,users,qpm,tokens_in,tokens_out,corpus_gb,embed_model,refresh_rate,avg_chunk_tokens,num_queries,avg_query_tokens,source_type,classes,complexity_level,language_pairs,num_tools,chain_depth,avg_steps,eval_freq,metrics,model_profile.key,model_profile.tier,model_profile.context_window,model_profile.pricing_basis,model_profile.override_ok,model_band_min_key,model_band_max_key,infra_profile.hosting_type,infra_profile.hardware_hint,gpu_hourly_key,gpu_count_default,batch_size_default,ft_enabled,ft_cost_basis,ft_dataset_tokens,ft_expected_hours,availability_target,monitoring_tier_default,compliance_flag,notes,required_inputs,fine_tune.enabled,fine_tune.cost_basis,fine_tune.dataset_tokens,fine_tune.expected_hours
23,S0,Text Cleaning & Normalization,Profanity Filter,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
24,S0,Text Cleaning & Normalization,PII Redaction,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
25,S0,Text Cleaning & Normalization,De-duplication,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
26,S0,Text Cleaning & Normalization,Whitespace Normalization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
27,S0,Text Cleaning & Normalization,Sentence Splitting,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
28,S0,Text Cleaning & Normalization,URL Cleanup,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
29,S0,Text Cleaning & Normalization,Emoji Stripping,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
30,S0,Text Cleaning & Normalization,OCR Noise Cleanup,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
31,S0,Text Cleaning & Normalization,Tokenization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
32,S0,Text Cleaning & Normalization,Noise Reduction,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
33,S0,Text Cleaning & Normalization,Dialect Normalization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
34,S0,Text Cleaning & Normalization,Brand Name Standardization,S0_clean,TRUE,sum_tokens,,token,300,50,proportional,0.1,TRUE,,100,20,,,,,,,,,,,,,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Often merged with translation/rewriting; minimal latency.,"users, qpm, tokens_in, tokens_out",FALSE,,,
35,S0,Translation & Language Adaptation,Machine Translation (xx→en),S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
36,S0,Translation & Language Adaptation,Machine Translation (en→xx),S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
37,S0,Translation & Language Adaptation,Tone Adaptation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
38,S0,Translation & Language Adaptation,Style Transfer,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
39,S0,Translation & Language Adaptation,Formalization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
40,S0,Translation & Language Adaptation,Casualization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
41,S0,Translation & Language Adaptation,Localization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
42,S0,Translation & Language Adaptation,Gender-Neutral Rewrite,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,anthropic/claude-3.5-haiku,small,200000,token,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
43,S0,Translation & Language Adaptation,Terminology Harmonization,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,mistral/mistral-medium,medium,32000,token,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
44,S0,Translation & Language Adaptation,Region-Specific Adaptation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,mistral/mistral-large,large,64000,token,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
45,S0,Translation & Language Adaptation,Language Detection + Route,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,cohere/command-r-plus,large,128000,token,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
46,S0,Translation & Language Adaptation,Bilingual Alignment,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-flash,small,1000000,token,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
47,S0,Translation & Language Adaptation,Transliteration,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,google/gemini-1.5-pro,large,1000000,token,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
48,S0,Translation & Language Adaptation,Domain-Adapted MT,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o-mini,medium,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
49,S0,Translation & Language Adaptation,Glossary-Enforced MT,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4o,large,128000,token,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
50,S0,Translation & Language Adaptation,Back-Translation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,openai/gpt-4.1-mini,medium,200000,token,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
51,S0,Translation & Language Adaptation,Pivot Translation,S0_translate,TRUE,sum_tokens,,token,500,500,proportional,0.15,FALSE,,100,20,,,,,,,,,,,,auto→en,,,,,,anthropic/claude-3.5-sonnet,large,200000,token,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Basic,None,Supports glossary; merges with S0_clean under MIN.,"users, qpm, tokens_in, tokens_out, language_pairs",FALSE,,,
52,S1,Database / Knowledge Access,SQL Generation,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,google/gemini-1.5-flash,small,1000000,api_call,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
53,S1,Database / Knowledge Access,SQL Execution (read),S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,google/gemini-1.5-pro,large,1000000,api_call,TRUE,google/gemini-1.5-pro,google/ge-1.5-pro,cloud,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
54,S1,Database / Knowledge Access,SQL Execution (write),S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,openai/gpt-4o-mini,medium,128000,api_call,TRUE,openai/gpt-4o-mini,openai/gpt-4o-,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
55,S1,Database / Knowledge Access,Table Q&A,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,openai/gpt-4o,large,128000,api_call,TRUE,openai/gpt-4o-mini,openai/gpt-4o,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
56,S1,Database / Knowledge Access,Schema Inference,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,openai/gpt-4.1-mini,medium,200000,api_call,TRUE,openai/gpt-4.1-mini,openai/gpt-4.1-,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
57,S1,Database / Knowledge Access,Join Strategy Suggestion,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,anthropic/claude-3.5-sonnet,large,200000,api_call,TRUE,anthropic/claude-3.5-sonnet-mini,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
58,S1,Database / Knowledge Access,Aggregate Report Query,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,anthropic/claude-3.5-haiku,small,200000,api_call,TRUE,anthropic/claude-3.5-haiku,anthropic/claude-3.5-sonnet,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
59,S1,Database / Knowledge Access,Anomaly Query Builder,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,mistral/mistral-medium,medium,32000,api_call,TRUE,mistral/mistral-medium-mini,mistral/mistral-medium,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
60,S1,Database / Knowledge Access,Time-Series Query Builder,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,mistral/mistral-large,large,64000,api_call,TRUE,mistral/mistral-large-mini,mistral/mistral-large,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
61,S1,Database / Knowledge Access,Materialized View Suggestion,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,cohere/command-r-plus,large,128000,api_call,TRUE,cohere/command-r-plus-mini,cohere/command-r-plus,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
62,S1,Database / Knowledge Access,Query Plan Explanation,S1_db,FALSE,separate_only,,api_call,200,120,separate_only,0,TRUE,,,,,,,,,,1000,200,postgres,,,,,,,,,google/gemini-1.5-flash,small,1000000,api_call,TRUE,google/gemini-1.5-flash,google/ge-1.5-pro,api,,,,,FALSE,,,,99,Standard,None,SQL costs per call; may co-exist with RAG (hybrid).,"num_queries, avg_query_tokens, source_type",FALSE,,,
